dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,464,0.4751547,PCA,celltype.l3,2701,2.80195
PBMC,464,0.4751547,RandomProjection,celltype.l3,42,2.17521
PBMC,464,0.4751547,RandomProjection,celltype.l3,2303,2.13161
PBMC,464,0.4751547,RandomProjection,celltype.l3,2701,2.17521
PBMC,464,0.4751547,SCVI,celltype.l3,42,2.7609
PBMC,464,0.4751547,SCVI,celltype.l3,2303,2.78099
PBMC,464,0.4751547,SCVI,celltype.l3,2701,2.80505
PBMC,464,1.0,Geneformer,celltype.l3,42,2.68678
PBMC,464,1.0,Geneformer,celltype.l3,2303,2.71999
PBMC,464,1.0,Geneformer,celltype.l3,2701,2.71371
PBMC,464,1.0,PCA,celltype.l3,42,3.06738
PBMC,464,1.0,PCA,celltype.l3,2303,3.09447
PBMC,464,1.0,PCA,celltype.l3,2701,3.08494
PBMC,464,1.0,RandomProjection,celltype.l3,42,2.4237
PBMC,464,1.0,RandomProjection,celltype.l3,2303,2.38083
PBMC,464,1.0,RandomProjection,celltype.l3,2701,2.4237
PBMC,464,1.0,SCVI,celltype.l3,42,2.8419
PBMC,464,1.0,SCVI,celltype.l3,2303,2.86628
PBMC,464,1.0,SCVI,celltype.l3,2701,2.87521
PBMC,1000,0.0012346,Geneformer,celltype.l3,42,0.58571
PBMC,1000,0.0012346,Geneformer,celltype.l3,2303,0.64388
PBMC,1000,0.0012346,Geneformer,celltype.l3,2701,0.65927
PBMC,1000,0.0012346,PCA,celltype.l3,42,1.84698
PBMC,1000,0.0012346,PCA,celltype.l3,2303,0.34804
PBMC,1000,0.0012346,PCA,celltype.l3,2701,1.84454
PBMC,1000,0.0012346,RandomProjection,celltype.l3,42,0.17683
PBMC,1000,0.0012346,RandomProjection,celltype.l3,2303,0.17462
PBMC,1000,0.0012346,RandomProjection,celltype.l3,2701,0.17683
PBMC,1000,0.0012346,SCVI,celltype.l3,42,0.19301
PBMC,1000,0.0012346,SCVI,celltype.l3,2303,0.37701
PBMC,1000,0.0012346,SCVI,celltype.l3,2701,0.38468
PBMC,1000,0.0025982,Geneformer,celltype.l3,42,0.9991
PBMC,1000,0.0025982,Geneformer,celltype.l3,2303,1.00968
PBMC,1000,0.0025982,Geneformer,celltype.l3,2701,0.9919
PBMC,1000,0.0025982,PCA,celltype.l3,42,1.7376
PBMC,1000,0.0025982,PCA,celltype.l3,2303,0.65819
PBMC,1000,0.0025982,PCA,celltype.l3,2701,1.7158
PBMC,1000,0.0025982,RandomProjection,celltype.l3,42,0.20138
PBMC,1000,0.0025982,RandomProjection,celltype.l3,2303,0.20576
PBMC,1000,0.0025982,RandomProjection,celltype.l3,2701,0.20138
PBMC,1000,0.0025982,SCVI,celltype.l3,42,0.72789
PBMC,1000,0.0025982,SCVI,celltype.l3,2303,0.74145
PBMC,1000,0.0025982,SCVI,celltype.l3,2701,0.73482
PBMC,1000,0.0054682,Geneformer,celltype.l3,42,1.25119
PBMC,1000,0.0054682,Geneformer,celltype.l3,2303,1.3391
PBMC,1000,0.0054682,Geneformer,celltype.l3,2701,1.34508
PBMC,1000,0.0054682,PCA,celltype.l3,42,1.55144
PBMC,1000,0.0054682,PCA,celltype.l3,2303,0.91928
PBMC,1000,0.0054682,PCA,celltype.l3,2701,1.58889
PBMC,1000,0.0054682,RandomProjection,celltype.l3,42,0.23654
PBMC,1000,0.0054682,RandomProjection,celltype.l3,2303,0.32302
PBMC,1000,0.0054682,RandomProjection,celltype.l3,2701,0.23654
PBMC,1000,0.0054682,SCVI,celltype.l3,42,1.1199
PBMC,1000,0.0054682,SCVI,celltype.l3,2303,1.13264
PBMC,1000,0.0054682,SCVI,celltype.l3,2701,1.09606
PBMC,1000,0.0115083,Geneformer,celltype.l3,42,1.55006
PBMC,1000,0.0115083,Geneformer,celltype.l3,2303,1.54073
PBMC,1000,0.0115083,Geneformer,celltype.l3,2701,1.52977
PBMC,1000,0.0115083,PCA,celltype.l3,42,1.48121
PBMC,1000,0.0115083,PCA,celltype.l3,2303,1.25273
PBMC,1000,0.0115083,PCA,celltype.l3,2701,1.53044
PBMC,1000,0.0115083,RandomProjection,celltype.l3,42,0.4504
PBMC,1000,0.0115083,RandomProjection,celltype.l3,2303,0.54692
PBMC,1000,0.0115083,RandomProjection,celltype.l3,2701,0.4504
PBMC,1000,0.0115083,SCVI,celltype.l3,42,1.6052
PBMC,1000,0.0115083,SCVI,celltype.l3,2303,1.55284
PBMC,1000,0.0115083,SCVI,celltype.l3,2701,1.52937
PBMC,1000,0.02422,Geneformer,celltype.l3,42,1.84401
PBMC,1000,0.02422,Geneformer,celltype.l3,2303,1.93364
PBMC,1000,0.02422,Geneformer,celltype.l3,2701,1.94296
PBMC,1000,0.02422,PCA,celltype.l3,42,1.71762
PBMC,1000,0.02422,PCA,celltype.l3,2303,1.67243
PBMC,1000,0.02422,PCA,celltype.l3,2701,1.67534
PBMC,1000,0.02422,RandomProjection,celltype.l3,42,0.77515
PBMC,1000,0.02422,RandomProjection,celltype.l3,2303,0.7979
PBMC,1000,0.02422,RandomProjection,celltype.l3,2701,0.77515
PBMC,1000,0.02422,SCVI,celltype.l3,42,1.98096
PBMC,1000,0.02422,SCVI,celltype.l3,2303,1.96224
PBMC,1000,0.02422,SCVI,celltype.l3,2701,1.97064
PBMC,1000,0.050973,Geneformer,celltype.l3,42,2.21044
PBMC,1000,0.050973,Geneformer,celltype.l3,2303,2.22976
PBMC,1000,0.050973,Geneformer,celltype.l3,2701,2.27322
