dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,215,0.02422,RandomProjection,protein_counts,2303,1.02923
PBMC,215,0.02422,RandomProjection,protein_counts,2701,1.01817
PBMC,215,0.02422,SCVI,protein_counts,42,2.02804
PBMC,215,0.02422,SCVI,protein_counts,2303,1.99151
PBMC,215,0.02422,SCVI,protein_counts,2701,2.01909
PBMC,215,0.050973,Geneformer,protein_counts,42,2.30481
PBMC,215,0.050973,Geneformer,protein_counts,2303,2.22495
PBMC,215,0.050973,Geneformer,protein_counts,2701,2.28945
PBMC,215,0.050973,PCA,protein_counts,42,2.14767
PBMC,215,0.050973,PCA,protein_counts,2303,2.16364
PBMC,215,0.050973,PCA,protein_counts,2701,2.1805
PBMC,215,0.050973,RandomProjection,protein_counts,42,1.46463
PBMC,215,0.050973,RandomProjection,protein_counts,2303,1.47537
PBMC,215,0.050973,RandomProjection,protein_counts,2701,1.46463
PBMC,215,0.050973,SCVI,protein_counts,42,2.42296
PBMC,215,0.050973,SCVI,protein_counts,2303,2.32707
PBMC,215,0.050973,SCVI,protein_counts,2701,2.34863
PBMC,215,0.1072766,Geneformer,protein_counts,42,2.35668
PBMC,215,0.1072766,Geneformer,protein_counts,2303,2.38335
PBMC,215,0.1072766,Geneformer,protein_counts,2701,2.35637
PBMC,215,0.1072766,PCA,protein_counts,42,2.55527
PBMC,215,0.1072766,PCA,protein_counts,2303,2.52267
PBMC,215,0.1072766,PCA,protein_counts,2701,2.55796
PBMC,215,0.1072766,RandomProjection,protein_counts,42,1.87921
PBMC,215,0.1072766,RandomProjection,protein_counts,2303,1.93615
PBMC,215,0.1072766,RandomProjection,protein_counts,2701,1.87921
PBMC,215,0.1072766,SCVI,protein_counts,42,2.78325
PBMC,215,0.1072766,SCVI,protein_counts,2303,2.72506
PBMC,215,0.1072766,SCVI,protein_counts,2701,2.58263
PBMC,215,0.225772,Geneformer,protein_counts,42,2.30388
PBMC,215,0.225772,Geneformer,protein_counts,2303,2.34337
PBMC,215,0.225772,Geneformer,protein_counts,2701,2.35761
PBMC,215,0.225772,PCA,protein_counts,42,2.88358
PBMC,215,0.225772,PCA,protein_counts,2303,2.87083
PBMC,215,0.225772,PCA,protein_counts,2701,2.901
PBMC,215,0.225772,RandomProjection,protein_counts,42,2.34458
PBMC,215,0.225772,RandomProjection,protein_counts,2303,2.30841
PBMC,215,0.225772,RandomProjection,protein_counts,2701,2.34458
PBMC,215,0.225772,SCVI,protein_counts,42,2.91157
PBMC,215,0.225772,SCVI,protein_counts,2303,2.81243
PBMC,215,0.225772,SCVI,protein_counts,2701,2.4478
PBMC,215,0.4751547,Geneformer,protein_counts,42,2.54785
PBMC,215,0.4751547,Geneformer,protein_counts,2303,2.48843
PBMC,215,0.4751547,Geneformer,protein_counts,2701,2.54287
PBMC,215,0.4751547,PCA,protein_counts,42,3.28534
PBMC,215,0.4751547,PCA,protein_counts,2303,3.33241
PBMC,215,0.4751547,PCA,protein_counts,2701,3.38278
PBMC,215,0.4751547,RandomProjection,protein_counts,42,2.62211
PBMC,215,0.4751547,RandomProjection,protein_counts,2303,2.61263
PBMC,215,0.4751547,RandomProjection,protein_counts,2701,2.62211
PBMC,215,0.4751547,SCVI,protein_counts,42,2.70438
PBMC,215,0.4751547,SCVI,protein_counts,2303,2.30649
PBMC,215,0.4751547,SCVI,protein_counts,2701,2.59057
PBMC,215,1.0,Geneformer,protein_counts,42,2.97744
