seed,noise_level,eta,sigma_meas_sq,sigma_M,sigma_M_sq_ratio,sigma_M_sq,n_per_batch,k,MI,test_acc,MI_std_if_estimator_provides_it
2,0.2,24.999999999999996,0.04000000000000001,0.5656854249492381,8.000000000000002,0.3200000000000001,100.0,100,0.23317325328614968,0.3724,
2,0.4,6.249999999999999,0.16000000000000003,0.0,0.0,0.0,100.0,100,0.2507467554373175,0.3976,
2,0.4,6.249999999999999,0.16000000000000003,0.14142135623730953,0.12500000000000003,0.020000000000000007,100.0,100,0.25551296279534563,0.3714,
2,0.4,6.249999999999999,0.16000000000000003,0.28284271247461906,0.5000000000000001,0.08000000000000003,100.0,100,0.22002219388627475,0.4038,
2,0.4,6.249999999999999,0.16000000000000003,0.5656854249492381,2.0000000000000004,0.3200000000000001,100.0,100,0.1586251987580689,0.3633,
2,0.8,1.5624999999999998,0.6400000000000001,0.0,0.0,0.0,100.0,100,0.04694796411334101,0.3234,
2,0.8,1.5624999999999998,0.6400000000000001,0.14142135623730953,0.03125000000000001,0.020000000000000007,100.0,100,0.07855759859936695,0.3448,
2,0.8,1.5624999999999998,0.6400000000000001,0.28284271247461906,0.12500000000000003,0.08000000000000003,100.0,100,0.016658993719188775,0.3187,
2,0.8,1.5624999999999998,0.6400000000000001,0.5656854249492381,0.5000000000000001,0.3200000000000001,100.0,100,0.000590570630009335,0.311,
2,1.6,0.39062499999999994,2.5600000000000005,0.0,0.0,0.0,100.0,100,0.0002904588726306834,0.282,
2,1.6,0.39062499999999994,2.5600000000000005,0.14142135623730953,0.007812500000000002,0.020000000000000007,100.0,100,0.0034007850998931666,0.3166,
2,1.6,0.39062499999999994,2.5600000000000005,0.28284271247461906,0.03125000000000001,0.08000000000000003,100.0,100,0.0010497083328280254,0.3222,
2,1.6,0.39062499999999994,2.5600000000000005,0.5656854249492381,0.12500000000000003,0.3200000000000001,100.0,100,0.0006134675314566351,0.3135,
