dataset,size,quality,size_rank,curve,step,loss,is_best_checkpoint
PBMC,4641,0.225772,medium,train,8000,3.5171,False
PBMC,4641,0.225772,medium,train,9000,3.4373,False
PBMC,4641,0.225772,medium,train,10000,3.3661,False
PBMC,4641,0.225772,medium,train,11000,3.3036,False
PBMC,4641,0.225772,medium,train,12000,3.2427,False
PBMC,4641,0.225772,medium,train,13000,3.1903,False
PBMC,4641,0.225772,medium,train,14000,3.1377,False
PBMC,4641,0.225772,medium,train,15000,3.0934,False
PBMC,4641,0.225772,medium,train,16000,3.0496,False
PBMC,4641,0.225772,medium,train,17000,3.0127,False
PBMC,4641,0.225772,medium,val,1000,7.958822250366211,False
PBMC,4641,0.225772,medium,val,2000,6.221778392791748,False
PBMC,4641,0.225772,medium,val,3000,5.29741096496582,False
PBMC,4641,0.225772,medium,val,4000,4.23797082901001,False
PBMC,4641,0.225772,medium,val,5000,3.947573184967041,False
PBMC,4641,0.225772,medium,val,6000,3.7441816329956055,False
PBMC,4641,0.225772,medium,val,7000,3.678661346435547,False
PBMC,4641,0.225772,medium,val,8000,3.6669702529907227,False
PBMC,4641,0.225772,medium,val,9000,3.654649019241333,False
PBMC,4641,0.225772,medium,val,10000,3.6185758113861084,False
PBMC,4641,0.225772,medium,val,11000,3.6200010776519775,False
PBMC,4641,0.225772,medium,val,12000,3.6091763973236084,False
PBMC,4641,0.225772,medium,val,13000,3.6345889568328857,False
PBMC,4641,0.225772,medium,val,14000,3.6399829387664795,False
PBMC,4641,0.225772,medium,val,15000,3.6766693592071533,False
PBMC,4641,0.225772,medium,val,16000,3.698052167892456,False
PBMC,4641,0.225772,medium,val,17000,3.697113037109375,False
PBMC,4641,0.225772,medium,val,12000,3.6091763973236084,True
PBMC,4641,0.4751547,medium,train,1000,9.1486,False
PBMC,4641,0.4751547,medium,train,2000,7.2936,False
PBMC,4641,0.4751547,medium,train,3000,5.7773,False
PBMC,4641,0.4751547,medium,train,4000,4.6901,False
PBMC,4641,0.4751547,medium,train,5000,4.1028,False
PBMC,4641,0.4751547,medium,train,6000,3.7989,False
PBMC,4641,0.4751547,medium,train,7000,3.6221,False
PBMC,4641,0.4751547,medium,train,8000,3.5045,False
PBMC,4641,0.4751547,medium,train,9000,3.4108,False
PBMC,4641,0.4751547,medium,train,10000,3.3351,False
PBMC,4641,0.4751547,medium,train,11000,3.2688,False
PBMC,4641,0.4751547,medium,train,12000,3.2103,False
PBMC,4641,0.4751547,medium,train,13000,3.1597,False
PBMC,4641,0.4751547,medium,val,1000,8.519646644592285,False
PBMC,4641,0.4751547,medium,val,2000,6.3272576332092285,False
PBMC,4641,0.4751547,medium,val,3000,5.199955940246582,False
PBMC,4641,0.4751547,medium,val,4000,4.344909191131592,False
PBMC,4641,0.4751547,medium,val,5000,3.9811699390411377,False
PBMC,4641,0.4751547,medium,val,6000,3.8273282051086426,False
PBMC,4641,0.4751547,medium,val,7000,3.751635789871216,False
PBMC,4641,0.4751547,medium,val,8000,3.7510502338409424,False
PBMC,4641,0.4751547,medium,val,9000,3.7655160427093506,False
PBMC,4641,0.4751547,medium,val,10000,3.7798256874084473,False
PBMC,4641,0.4751547,medium,val,11000,3.7822587490081787,False
PBMC,4641,0.4751547,medium,val,12000,3.8172569274902344,False
PBMC,4641,0.4751547,medium,val,13000,3.834188461303711,False
PBMC,4641,0.4751547,medium,val,8000,3.7510502338409424,True
PBMC,4641,1.0,medium,train,1000,8.9252,False
PBMC,4641,1.0,medium,train,2000,7.2867,False
PBMC,4641,1.0,medium,train,3000,5.9143,False
PBMC,4641,1.0,medium,train,4000,5.1827,False
PBMC,4641,1.0,medium,train,5000,4.6155,False
PBMC,4641,1.0,medium,train,6000,4.2788,False
PBMC,4641,1.0,medium,train,7000,4.0752,False
PBMC,4641,1.0,medium,train,8000,3.9333,False
PBMC,4641,1.0,medium,train,9000,3.8251,False
PBMC,4641,1.0,medium,train,10000,3.7412,False
PBMC,4641,1.0,medium,train,11000,3.6721,False
PBMC,4641,1.0,medium,train,12000,3.6092,False
PBMC,4641,1.0,medium,train,13000,3.5556,False
PBMC,4641,1.0,medium,train,14000,3.5035,False
PBMC,4641,1.0,medium,train,15000,3.4584,False
PBMC,4641,1.0,medium,train,16000,3.4181,False
PBMC,4641,1.0,medium,val,1000,8.20457649230957,False
PBMC,4641,1.0,medium,val,2000,6.440951347351074,False
PBMC,4641,1.0,medium,val,3000,5.54062557220459,False
PBMC,4641,1.0,medium,val,4000,4.889035224914551,False
PBMC,4641,1.0,medium,val,5000,4.490635871887207,False
PBMC,4641,1.0,medium,val,6000,4.268223762512207,False
PBMC,4641,1.0,medium,val,7000,4.1513261795043945,False
PBMC,4641,1.0,medium,val,8000,4.062819480895996,False
PBMC,4641,1.0,medium,val,9000,4.032350540161133,False
PBMC,4641,1.0,medium,val,10000,4.019205570220947,False
PBMC,4641,1.0,medium,val,11000,3.9922778606414795,False
PBMC,4641,1.0,medium,val,12000,3.9980740547180176,False
PBMC,4641,1.0,medium,val,13000,3.996922254562378,False
PBMC,4641,1.0,medium,val,14000,3.994659185409546,False
PBMC,4641,1.0,medium,val,15000,4.017978191375732,False
PBMC,4641,1.0,medium,val,16000,4.032660007476807,False
PBMC,4641,1.0,medium,val,11000,3.9922778606414795,True
PBMC,100000,0.0012346,large,train,1000,7.7601,False
PBMC,100000,0.0012346,large,train,2000,6.2671,False
PBMC,100000,0.0012346,large,train,3000,5.8629,False
PBMC,100000,0.0012346,large,train,4000,5.6783,False
PBMC,100000,0.0012346,large,train,5000,5.5916,False
PBMC,100000,0.0012346,large,train,6000,5.5307,False
PBMC,100000,0.0012346,large,train,7000,5.508,False
PBMC,100000,0.0012346,large,train,8000,5.4839,False
PBMC,100000,0.0012346,large,train,9000,5.4089,False
PBMC,100000,0.0012346,large,train,10000,5.3887,False
PBMC,100000,0.0012346,large,train,11000,5.3799,False
PBMC,100000,0.0012346,large,train,12000,5.3752,False
PBMC,100000,0.0012346,large,train,13000,5.3707,False
PBMC,100000,0.0012346,large,train,14000,5.3225,False
PBMC,100000,0.0012346,large,train,15000,5.2958,False
PBMC,100000,0.0012346,large,train,16000,5.3109,False
PBMC,100000,0.0012346,large,train,17000,5.2906,False
PBMC,100000,0.0012346,large,train,18000,5.2452,False
PBMC,100000,0.0012346,large,train,19000,5.2596,False
PBMC,100000,0.0012346,large,train,20000,5.2472,False
PBMC,100000,0.0012346,large,train,21000,5.2396,False
PBMC,100000,0.0012346,large,train,22000,5.2281,False
PBMC,100000,0.0012346,large,train,23000,5.2187,False
PBMC,100000,0.0012346,large,val,1000,5.843657493591309,False
PBMC,100000,0.0012346,large,val,2000,5.012416839599609,False
