dataset,algo,size,quality,probe,value
PBMC,RandomProjection,21544,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,21544,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,21544,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,21544,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,21544,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,21544,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,21544,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,21544,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,21544,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,21544,1.0,ridge_mean_r2,0.15148649228781003
PBMC,RandomProjection,46415,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,46415,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,46415,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,46415,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,46415,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,46415,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,46415,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,46415,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,46415,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,46415,1.0,ridge_mean_r2,0.15148649228781003
PBMC,RandomProjection,100000,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,100000,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,100000,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,100000,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,100000,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,100000,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,100000,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,100000,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,100000,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,100000,1.0,ridge_mean_r2,0.15148649228781003
PBMC,SCVI,100,0.0012346,ridge_mean_r2,0.020030840382496997
PBMC,SCVI,100,0.0025982,ridge_mean_r2,0.05391210197314519
PBMC,SCVI,100,0.0054682,ridge_mean_r2,0.08067318775482087
PBMC,SCVI,100,0.0115083,ridge_mean_r2,0.11263450322011281
PBMC,SCVI,100,0.02422,ridge_mean_r2,0.141960445314857
PBMC,SCVI,100,0.050973,ridge_mean_r2,0.15251615350355693
PBMC,SCVI,100,0.1072766,ridge_mean_r2,0.1763801362264001
PBMC,SCVI,100,0.225772,ridge_mean_r2,0.19901699046967863
PBMC,SCVI,100,0.4751547,ridge_mean_r2,0.21262141145077879
PBMC,SCVI,100,1.0,ridge_mean_r2,0.2278335744343199
PBMC,SCVI,215,0.0012346,ridge_mean_r2,0.02591443758001058
PBMC,SCVI,215,0.0025982,ridge_mean_r2,0.061035529474829604
PBMC,SCVI,215,0.0054682,ridge_mean_r2,0.0877538653795936
PBMC,SCVI,215,0.0115083,ridge_mean_r2,0.12271412715131763
PBMC,SCVI,215,0.02422,ridge_mean_r2,0.14651727753569518
PBMC,SCVI,215,0.050973,ridge_mean_r2,0.1577680126397174
PBMC,SCVI,215,0.1072766,ridge_mean_r2,0.19185687875757815
PBMC,SCVI,215,0.225772,ridge_mean_r2,0.21100028296702694
PBMC,SCVI,215,0.4751547,ridge_mean_r2,0.2227794486543653
PBMC,SCVI,215,1.0,ridge_mean_r2,0.23220314983481175
PBMC,SCVI,464,0.0012346,ridge_mean_r2,0.02286802195969464
PBMC,SCVI,464,0.0025982,ridge_mean_r2,0.06356177340574559
PBMC,SCVI,464,0.0054682,ridge_mean_r2,0.09952604709112065
PBMC,SCVI,464,0.0115083,ridge_mean_r2,0.13019730125995657
PBMC,SCVI,464,0.02422,ridge_mean_r2,0.14924129345470213
PBMC,SCVI,464,0.050973,ridge_mean_r2,0.1780950159347479
PBMC,SCVI,464,0.1072766,ridge_mean_r2,0.20824823983713822
PBMC,SCVI,464,0.225772,ridge_mean_r2,0.2180076743392112
PBMC,SCVI,464,0.4751547,ridge_mean_r2,0.2295001940562165
PBMC,SCVI,464,1.0,ridge_mean_r2,0.23704932647562904
PBMC,SCVI,1000,0.0012346,ridge_mean_r2,0.04231786660467998
PBMC,SCVI,1000,0.0025982,ridge_mean_r2,0.07837061804462646
