dataset,algo,signal,seed,size,quality,quality_str,step,mi
shendure,Geneformer,author_day,42,4641,0.004,0.004,4000,0.20712
shendure,Geneformer,author_day,42,4641,0.004,0.004,5000,0.2199
shendure,Geneformer,author_day,42,4641,0.004,0.004,6000,0.19095
shendure,Geneformer,author_day,42,4641,0.004,0.004,7000,0.14735
shendure,Geneformer,author_day,42,4641,0.004,0.004,8000,0.17934
shendure,Geneformer,author_day,42,4641,0.0073875,0.0073875,1000,0.25804
shendure,Geneformer,author_day,42,4641,0.0073875,0.0073875,2000,0.29102
shendure,Geneformer,author_day,42,4641,0.0073875,0.0073875,3000,0.31158
shendure,Geneformer,author_day,42,4641,0.0073875,0.0073875,4000,0.29595
shendure,Geneformer,author_day,42,4641,0.0073875,0.0073875,5000,0.29633
shendure,Geneformer,author_day,42,4641,0.0073875,0.0073875,6000,0.29601
shendure,Geneformer,author_day,42,4641,0.0073875,0.0073875,7000,0.24315
shendure,Geneformer,author_day,42,4641,0.0073875,0.0073875,8000,0.26919
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,1000,0.36453
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,2000,0.37074
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,3000,0.44762
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,4000,0.47062
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,5000,0.44421
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,6000,0.4623
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,7000,0.42516
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,8000,0.38591
shendure,Geneformer,author_day,42,4641,0.0136438,0.0136438,9000,0.39646
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,1000,0.52329
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,2000,0.56659
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,3000,0.5168
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,4000,0.54726
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,5000,0.61894
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,6000,0.66912
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,7000,0.72192
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,8000,0.73267
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,9000,0.73834
shendure,Geneformer,author_day,42,4641,0.0251984,0.0251984,10000,0.74442
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,1000,0.67314
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,2000,0.70977
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,3000,0.73234
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,4000,0.64425
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,5000,0.83511
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,6000,0.924
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,7000,0.97433
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,8000,0.9464
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,9000,0.98404
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,10000,0.97832
shendure,Geneformer,author_day,42,4641,0.0465384,0.0465384,11000,0.96903
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,1000,0.75294
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,2000,0.79733
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,3000,0.90298
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,4000,0.85684
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,5000,0.99637
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,6000,1.02541
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,7000,1.08317
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,8000,1.0603
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,9000,1.12921
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,10000,1.15667
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,11000,1.13951
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,12000,1.15812
shendure,Geneformer,author_day,42,4641,0.0859506,0.0859506,13000,1.1645
