dataset,size,quality,method,metric,seed,mi_value,umis_per_cell,fitted_mi_value,I_max,I_max_err,u_bar,u_bar_err,A_fit,B_fit,fitted_mi_value_cell,A_cell,A_cell_err,B_cell,B_cell_err,C_cell,C_cell_err
PBMC,100,0.0054682,Geneformer,celltype.l3,2701,1.06594,44,1.0503873945122586,2.031599189767882,0.12092395440243348,166.22842388745465,22.113865756045357,0.006015818333674705,0.10056325070939831,1.4055962201436896,46.54941842384922,19.845054942571885,0.4494386459767371,0.21241233648522173,2.1147621035911044,0.03935424498716203
PBMC,100,0.0054682,Geneformer,protein_counts,42,1.37599,44,1.341069395205793,1.9125277759213148,0.1891983091977154,62.976228568955285,12.755559868487767,0.01587900740840742,0.22505040950215616,1.3739025864959447,119.56233930177929,42.81112012221043,0.7564268431011433,0.4769561955756186,2.51860998507392,0.015319460293116911
PBMC,100,0.0054682,Geneformer,protein_counts,2701,1.34557,44,1.341069395205793,1.9125277759213148,0.1891983091977154,62.976228568955285,12.755559868487767,0.01587900740840742,0.22505040950215616,1.3739025864959447,119.56233930177929,42.81112012221043,0.7564268431011433,0.4769561955756186,2.51860998507392,0.015319460293116911
PBMC,100,0.0054682,PCA,celltype.l3,42,0.91155,44,0.7647859909061756,3.0905057354031995,0.10870735649768236,1624.487297447904,222.30284764480862,0.0006155788362094405,0.04466358057372233,1.5958116398143944,26.57445352606746,26.369406203257274,0.8402577452502605,0.5750224384378163,1.9242105491756272,1.8414895575666255
PBMC,100,0.0054682,PCA,celltype.l3,2701,0.92211,44,0.7647859909061756,3.0905057354031995,0.10870735649768236,1624.487297447904,222.30284764480862,0.0006155788362094405,0.04466358057372233,1.5958116398143944,26.57445352606746,26.369406203257274,0.8402577452502605,0.5750224384378163,1.9242105491756272,1.8414895575666255
PBMC,100,0.0054682,PCA,protein_counts,42,0.90501,44,0.8466147784345649,3.736421087333816,0.12487671731408083,3435.4193214719985,562.7551390447728,0.00029108528142396395,0.05170944703170233,1.8125096797347668,37.70734074829012,33.7399393248818,1.0232741577641558,0.834642513907809,2.1811200720708706,0.7497225161917949
PBMC,100,0.0054682,PCA,protein_counts,2701,0.96397,44,0.8466147784345649,3.736421087333816,0.12487671731408083,3435.4193214719985,562.7551390447728,0.00029108528142396395,0.05170944703170233,1.8125096797347668,37.70734074829012,33.7399393248818,1.0232741577641558,0.834642513907809,2.1811200720708706,0.7497225161917949
PBMC,100,0.0054682,RandomProjection,celltype.l3,42,0.24753,44,0.266000657298056,2.6342506754656716,0.08272234430535606,3660.620301378551,391.16750606966485,0.0002731777452098516,0.010529851704153437,1.0295395538783902,22.078923492378006,50.85706998358089,1.2811248719270925,1.8738723243740403,1.1739350888829843,0.0044008311596572145
PBMC,100,0.0054682,RandomProjection,celltype.l3,2303,0.36326,44,0.266000657298056,2.6342506754656716,0.08272234430535606,3660.620301378551,391.16750606966485,0.0002731777452098516,0.010529851704153437,1.0295395538783902,22.078923492378006,50.85706998358089,1.2811248719270925,1.8738723243740403,1.1739350888829843,0.0044008311596572145
PBMC,100,0.0054682,RandomProjection,celltype.l3,2701,0.29192,44,0.266000657298056,2.6342506754656716,0.08272234430535606,3660.620301378551,391.16750606966485,0.0002731777452098516,0.010529851704153437,1.0295395538783902,22.078923492378006,50.85706998358089,1.2811248719270925,1.8738723243740403,1.1739350888829843,0.0044008311596572145
PBMC,100,0.0054682,RandomProjection,protein_counts,42,0.42328,44,0.37997087314038,3.147373749174665,0.0869201653984537,4874.076236221168,557.4097600323994,0.00020516708223983215,0.01610703099345212,1.2282455877236096,32.276501343365894,52.42725273908582,1.2646690696240785,1.7015077257855573,1.467524203136347,0.10617682045863089
